url,title,summary
http://feeds.bbci.co.uk/news/rss.xml,December train strikes: Extra walkouts planned over Christmas,"The union is urging its members to reject a new offer, which will be put to a ballot."
http://feeds.bbci.co.uk/news/rss.xml,Full extent of High Street changes since Covid revealed,"Fewer banks and shops, but beauty parlours prosper - BBC analysis of Ordnance Survey data has found."
http://feeds.bbci.co.uk/news/rss.xml,"UK sleepwalking into food supply crisis, says farming union",Yields of tomatoes and other crops are set to hit a record low as farmers struggle with surging costs.
http://feeds.bbci.co.uk/news/rss.xml,Wave of Russian missiles hits Ukraine,The latest deadly strikes on Ukrainian infrastructure caused significant disruption to the power grid.
http://feeds.bbci.co.uk/news/rss.xml,Kirstie Alley: Emmy-winning Cheers actress dies of cancer at 71,The TV star also featured in the Look Who's Talking film series and the movie Drop Dead Gorgeous.
http://feeds.bbci.co.uk/news/rss.xml,UK weather: Met Office warns of below freezing temperatures,People are urged to look out for friends and family amid unseasonably cold temperatures this week.
http://feeds.bbci.co.uk/news/rss.xml,Housing targets to be diluted after Tory MPs revolt,"The government has reached a deal with rebel MPs, who had backed a plan to ban mandatory targets in England."
http://feeds.bbci.co.uk/news/rss.xml,Brazil 4-1 South Korea: Dazzling Brazil dismantle South Korea to set up quarter-final against Croatia,Brazil deliver an ominous message to their World Cup rivals with a dazzling display of attacking brilliance to dismantle South Korea and set up a quarter-final against Croatia.
http://feeds.bbci.co.uk/news/rss.xml,Meta threatens to remove US news content if new law passes,Facebook's parent company says it will pull news from the platform in the US if a new media law passes.
http://feeds.bbci.co.uk/news/rss.xml,"Michelle Mone sent aggressive Covid contract email, Matt Hancock says",Ex-health secretary accuses Tory peer of being threatening when trying to secure a contract for a firm.
http://feeds.bbci.co.uk/news/rss.xml,Tampa police chief quits after trying to avoid golf cart ticket,Video shows Mary O'Connor being pulled over for driving an unlicensed vehicle on a public street.
http://feeds.bbci.co.uk/news/rss.xml,British Fashion Awards 2022: Stars descend on Royal Albert Hall's red carpet,Celebrities from across the world enjoyed an evening of glitz and glamour at the awards.
http://feeds.bbci.co.uk/news/rss.xml,Mum-of-seven starts baby bank in Walsall and helps hundreds,Kimberley set up Tots in Need during a Covid lockdown after seeing a need for baby banks in Walsall.
http://feeds.bbci.co.uk/news/rss.xml,Five ways to spend and waste less this Christmas,"Experts give tips on how to make your Christmas cheaper, greener and just as joyful."
http://feeds.bbci.co.uk/news/rss.xml,Cost of Living: How to have a Christmas party on a budget,"With money tight, there are ways you can organise a Christmas party without the financial hangover."
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: The Leeds food bank making every user feel valued,The Cultural Food Hub is making sure each bag given matches the needs of the person receiving it.
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: 'No-one likes us. We DO care. We are Millwall',Football clubs are supporting their communities as costs rise - from food banks to debt advice.
http://feeds.bbci.co.uk/news/rss.xml,Mortgages: What happens if I miss a payment?,Homeowners are worried about rising mortgage costs - but lenders must help those struggling.
http://feeds.bbci.co.uk/news/rss.xml,Mortgage calculator: how much will my mortgage go up?,Use our calculator to find out how much mortgage payments could go up for your household.
http://feeds.bbci.co.uk/news/rss.xml,Egg shortages: What's causing the problem and how long will it last?,The staple grocery is being rationed in some supermarkets - but why are there so few around?
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: Vicar left in tears over community's food poverty,"""I spend most Monday evenings in tears,"" says Father Dominic Cawdell, of St Peter's in Flintshire."
http://feeds.bbci.co.uk/news/rss.xml,Ros Atkins on... The UK’s home insulation problem,BBC Analysis editor Ros Atkins looks at why millions of UK homes don’t have adequate home insulation – and what the government plans to do about it.
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: 'Christmas is coming but everybody's worried',"Funmilayo Akinriboya runs a support group for African, Caribbean and Portuguese communities."
http://feeds.bbci.co.uk/news/rss.xml,How to cut your energy bills,"Energy bills have gone up, but there are some easy ways households can reduce costs."
http://feeds.bbci.co.uk/news/rss.xml,Big Zuu shares his budget cooking secrets,The TV chef and rapper shares his big three tips for making the most of your weekly food shop.
http://feeds.bbci.co.uk/news/rss.xml,'We are chasing never-ending debt to pay for basics',Citizens Advice says homeowners and pensioners are among those increasingly seeking debt advice.
http://feeds.bbci.co.uk/news/rss.xml,Foraging in the forest as a way to make ends meet,"More people are foraging from the land as a way to make ends meet, says an experienced forager."
http://feeds.bbci.co.uk/news/rss.xml,The Papers: 'Fury at Sussexes'' and PM 'abandons' housing goals,Reaction to Prince Harry and Meghan's new documentary dominates some of Tuesday's front pages.
http://feeds.bbci.co.uk/news/rss.xml,Kanye West: Are Jewish fans still listening?,British Jews talk about the dilemma of listening to the rapper after his anti-Semitic comments.
http://feeds.bbci.co.uk/news/rss.xml,December strikes: Who is striking and what are their pay claims?,"Hundreds of thousands of workers have walked out, or threatened to, causing widespread disruption."
http://feeds.bbci.co.uk/news/rss.xml,After the hype plant-based proteins face leaner times,"Booming just a few years ago, the market for plant-based proteins is going through a tough patch."
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Why England have nothing to fear about the remaining teams - Alan Shearer,Former England captain Alan Shearer says the Three Lions have nothing to fear about the teams left in the World Cup.
http://feeds.bbci.co.uk/news/rss.xml,A headache pill inspired my dissolving poo bags,George Greer came up with the idea after being shocked at the amount of plastic waste on the banks of a loch.
http://feeds.bbci.co.uk/news/rss.xml,Was my mother the child of a Catholic priest?,Vivien Prior believes her mother is the secret child of a Catholic priest and wants to find the truth about her family.
http://feeds.bbci.co.uk/news/rss.xml,Haiti: Inside the capital city taken hostage by brutal gangs,"Orla Guerin reports from Port-au-Prince, where Haitians live in fear of killings, kidnappings and rape."
http://feeds.bbci.co.uk/news/rss.xml,What is Strep A and what are the symptoms to look out for?,Another UK child has died from this highly contagious infection. What should people look out for?
